Postal Code,Age,Gender,Latitude,Longitude,Culture Centre,C_Postal_Code,C_Latitude,C_Longitude,Distance (kms)
V1P 1M9,65 and up,Female,49.871871,-119.354026,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,14.217
V1P 1M9,65 and up,Female,49.871871,-119.354026,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,13.778
V1W 1A4,35 to 44,Female,49.835606,-119.4844405,Kelowna Actors Studio,V1Y 1Z9,49.889195,-119.493507,7.382
V1W 1A4,35 to 44,Female,49.835606,-119.4844405,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,6.429
V1W 1A4,35 to 44,Female,49.835606,-119.4844405,Stuart Park,V1Y 1J1,49.8885895,-119.4965745,6.354
V1W 1A4,35 to 44,Female,49.835606,-119.4844405,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,7.671
V1X 6X4,65 and up,Male,49.87959667,-119.4359126,Kelowna Art Gallery,V1Y 9R3,49.8906455,-119.496581,5.606
V1X 6X4,65 and up,Male,49.87959667,-119.4359126,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,5.322
V1X 6X4,65 and up,Male,49.87959667,-119.4359126,Mary Irwin Theatre,V1Y 6Z1,49.891742,-119.493626,5.322
V1X 6X4,65 and up,Male,49.87959667,-119.4359126,Kelowna Community Theatre,V1Y 0B4,49.889196,-119.497076,5.762
V1X 6X4,65 and up,Male,49.87959667,-119.4359126,Black Box Theatre,V1Y 9P4,49.891643,-119.496589,5.494
V1Y 5R2,65 and up,Undisclosed,49.878073,-119.494065,,,,,
V1Y 3W1,35 to 44,Female,49.889964,-119.461892,Father Pandosy Mission,V1W 4M7,49.847815,-119.468519,6.947
V1Y 3W1,35 to 44,Female,49.889964,-119.461892,Okanagan Heritage Museum,V1Y 6S7,49.88733,-119.494003,2.904
V1Y 3W1,35 to 44,Female,49.889964,-119.461892,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,4.061
V1Y 3W1,35 to 44,Female,49.889964,-119.461892,Okanagan Regional Library,V1Y 2A2,49.889007,-119.493507,3.065
V1Y 2V1,35 to 44,Male,49.863707,-119.486805,Okanagan Regional Library,V1Y 2A2,49.889007,-119.493507,3.279
V4T 2B5,19 to 24,Male,49.84212051,-119.6473382,Okanagan Regional Library,V1Y 2A2,49.889007,-119.493507,15.616
V1V 3B9,35 to 44,Male,49.90431,-119.453231,,,,,
V1X 1X3,45 to 54,Female,49.888168,-119.402734,,,,,
V4T 2X8,25 to 34,Female,49.849752,-119.606393,Rotary Centre for the Arts,V1Y 6Z1,49.891742,-119.493626,14.799
